domain,bearing,class_name,meas_idx,src_mat,start,win_len
N15_M07_F10,K001,Healthy,1,N15_M07_F10_K001_1.mat,127744,512
N15_M07_F10,K001,Healthy,2,N15_M07_F10_K001_2.mat,127744,512
N15_M07_F10,K001,Healthy,3,N15_M07_F10_K001_3.mat,127787,512
N15_M07_F10,K001,Healthy,4,N15_M07_F10_K001_4.mat,127744,512
N15_M07_F10,K001,Healthy,5,N15_M07_F10_K001_5.mat,127744,512
N15_M07_F10,K001,Healthy,6,N15_M07_F10_K001_6.mat,127744,512
N15_M07_F10,K001,Healthy,7,N15_M07_F10_K001_7.mat,127744,512
N15_M07_F10,K001,Healthy,8,N15_M07_F10_K001_8.mat,127784,512
N15_M07_F10,K001,Healthy,9,N15_M07_F10_K001_9.mat,127781,512
N15_M07_F10,K001,Healthy,10,N15_M07_F10_K001_10.mat,128447,512
N15_M07_F10,K001,Healthy,11,N15_M07_F10_K001_11.mat,127744,512
N15_M07_F10,K001,Healthy,12,N15_M07_F10_K001_12.mat,128420,512
N15_M07_F10,K001,Healthy,13,N15_M07_F10_K001_13.mat,127785,512
N15_M07_F10,K001,Healthy,14,N15_M07_F10_K001_14.mat,128116,512
N15_M07_F10,K001,Healthy,15,N15_M07_F10_K001_15.mat,127795,512
N15_M07_F10,K001,Healthy,16,N15_M07_F10_K001_16.mat,127794,512
N15_M07_F10,K001,Healthy,17,N15_M07_F10_K001_17.mat,128246,512
N15_M07_F10,K001,Healthy,18,N15_M07_F10_K001_18.mat,127795,512
N15_M07_F10,K001,Healthy,19,N15_M07_F10_K001_19.mat,127744,512
N15_M07_F10,K001,Healthy,20,N15_M07_F10_K001_20.mat,127788,512
N15_M07_F10,KI01,KI01,1,N15_M07_F10_KI01_1.mat,128748,512
N15_M07_F10,KI01,KI01,2,N15_M07_F10_KI01_2.mat,128262,512
N15_M07_F10,KI01,KI01,3,N15_M07_F10_KI01_3.mat,128122,512
N15_M07_F10,KI01,KI01,4,N15_M07_F10_KI01_4.mat,127744,512
N15_M07_F10,KI01,KI01,5,N15_M07_F10_KI01_5.mat,127985,512
N15_M07_F10,KI01,KI01,6,N15_M07_F10_KI01_6.mat,127794,512
N15_M07_F10,KI01,KI01,7,N15_M07_F10_KI01_7.mat,127744,512
N15_M07_F10,KI01,KI01,8,N15_M07_F10_KI01_8.mat,127744,512
N15_M07_F10,KI01,KI01,9,N15_M07_F10_KI01_9.mat,127744,512
N15_M07_F10,KI01,KI01,10,N15_M07_F10_KI01_10.mat,127744,512
N15_M07_F10,KI01,KI01,11,N15_M07_F10_KI01_11.mat,127744,512
N15_M07_F10,KI01,KI01,12,N15_M07_F10_KI01_12.mat,127744,512
N15_M07_F10,KI01,KI01,13,N15_M07_F10_KI01_13.mat,127999,512
N15_M07_F10,KI01,KI01,14,N15_M07_F10_KI01_14.mat,127744,512
N15_M07_F10,KI01,KI01,15,N15_M07_F10_KI01_15.mat,128480,512
N15_M07_F10,KI01,KI01,16,N15_M07_F10_KI01_16.mat,127799,512
N15_M07_F10,KI01,KI01,17,N15_M07_F10_KI01_17.mat,127792,512
N15_M07_F10,KI01,KI01,18,N15_M07_F10_KI01_18.mat,127786,512
N15_M07_F10,KI01,KI01,19,N15_M07_F10_KI01_19.mat,127744,512
N15_M07_F10,KI01,KI01,20,N15_M07_F10_KI01_20.mat,127810,512
N15_M07_F10,KI18,KI18,1,N15_M07_F10_KI18_1.mat,127744,512
N15_M07_F10,KI18,KI18,2,N15_M07_F10_KI18_2.mat,127744,512
N15_M07_F10,KI18,KI18,3,N15_M07_F10_KI18_3.mat,127744,512
N15_M07_F10,KI18,KI18,4,N15_M07_F10_KI18_4.mat,127744,512
N15_M07_F10,KI18,KI18,5,N15_M07_F10_KI18_5.mat,127744,512
N15_M07_F10,KI18,KI18,6,N15_M07_F10_KI18_6.mat,127744,512
N15_M07_F10,KI18,KI18,7,N15_M07_F10_KI18_7.mat,127744,512
N15_M07_F10,KI18,KI18,8,N15_M07_F10_KI18_8.mat,127744,512
N15_M07_F10,KI18,KI18,9,N15_M07_F10_KI18_9.mat,127744,512
N15_M07_F10,KI18,KI18,10,N15_M07_F10_KI18_10.mat,127744,512
N15_M07_F10,KI18,KI18,11,N15_M07_F10_KI18_11.mat,127745,512
N15_M07_F10,KI18,KI18,12,N15_M07_F10_KI18_12.mat,127745,512
N15_M07_F10,KI18,KI18,13,N15_M07_F10_KI18_13.mat,127745,512
N15_M07_F10,KI18,KI18,14,N15_M07_F10_KI18_14.mat,127744,512
N15_M07_F10,KI18,KI18,15,N15_M07_F10_KI18_15.mat,127745,512
N15_M07_F10,KI18,KI18,16,N15_M07_F10_KI18_16.mat,127744,512
N15_M07_F10,KI18,KI18,17,N15_M07_F10_KI18_17.mat,127744,512
N15_M07_F10,KI18,KI18,18,N15_M07_F10_KI18_18.mat,127744,512
N15_M07_F10,KI18,KI18,19,N15_M07_F10_KI18_19.mat,127744,512
N15_M07_F10,KI18,KI18,20,N15_M07_F10_KI18_20.mat,127744,512
N15_M07_F10,KI16,KI16,1,N15_M07_F10_KI16_1.mat,127744,512
N15_M07_F10,KI16,KI16,2,N15_M07_F10_KI16_2.mat,127744,512
N15_M07_F10,KI16,KI16,3,N15_M07_F10_KI16_3.mat,127745,512
N15_M07_F10,KI16,KI16,4,N15_M07_F10_KI16_4.mat,127744,512
N15_M07_F10,KI16,KI16,5,N15_M07_F10_KI16_5.mat,127744,512
N15_M07_F10,KI16,KI16,6,N15_M07_F10_KI16_6.mat,127744,512
N15_M07_F10,KI16,KI16,7,N15_M07_F10_KI16_7.mat,127744,512
N15_M07_F10,KI16,KI16,8,N15_M07_F10_KI16_8.mat,127744,512
N15_M07_F10,KI16,KI16,9,N15_M07_F10_KI16_9.mat,136811,512
N15_M07_F10,KI16,KI16,10,N15_M07_F10_KI16_10.mat,127787,512
N15_M07_F10,KI16,KI16,11,N15_M07_F10_KI16_11.mat,127744,512
N15_M07_F10,KI16,KI16,12,N15_M07_F10_KI16_12.mat,127745,512
N15_M07_F10,KI16,KI16,13,N15_M07_F10_KI16_13.mat,127744,512
N15_M07_F10,KI16,KI16,14,N15_M07_F10_KI16_14.mat,127744,512
N15_M07_F10,KI16,KI16,15,N15_M07_F10_KI16_15.mat,127789,512
N15_M07_F10,KI16,KI16,16,N15_M07_F10_KI16_16.mat,127745,512
N15_M07_F10,KI16,KI16,17,N15_M07_F10_KI16_17.mat,127897,512
N15_M07_F10,KI16,KI16,18,N15_M07_F10_KI16_18.mat,127746,512
N15_M07_F10,KI16,KI16,19,N15_M07_F10_KI16_19.mat,127744,512
N15_M07_F10,KI16,KI16,20,N15_M07_F10_KI16_20.mat,127745,512
N15_M07_F10,KI14,KI14,1,N15_M07_F10_KI14_1.mat,127744,512
N15_M07_F10,KI14,KI14,2,N15_M07_F10_KI14_2.mat,127744,512
N15_M07_F10,KI14,KI14,3,N15_M07_F10_KI14_3.mat,127746,512
N15_M07_F10,KI14,KI14,4,N15_M07_F10_KI14_4.mat,127938,512
N15_M07_F10,KI14,KI14,5,N15_M07_F10_KI14_5.mat,127744,512
N15_M07_F10,KI14,KI14,6,N15_M07_F10_KI14_6.mat,127744,512
N15_M07_F10,KI14,KI14,7,N15_M07_F10_KI14_7.mat,127744,512
N15_M07_F10,KI14,KI14,8,N15_M07_F10_KI14_8.mat,127744,512
N15_M07_F10,KI14,KI14,9,N15_M07_F10_KI14_9.mat,127744,512
N15_M07_F10,KI14,KI14,10,N15_M07_F10_KI14_10.mat,129879,512
N15_M07_F10,KI14,KI14,11,N15_M07_F10_KI14_11.mat,127744,512
N15_M07_F10,KI14,KI14,12,N15_M07_F10_KI14_12.mat,127744,512
N15_M07_F10,KI14,KI14,13,N15_M07_F10_KI14_13.mat,127744,512
N15_M07_F10,KI14,KI14,14,N15_M07_F10_KI14_14.mat,127744,512
N15_M07_F10,KI14,KI14,15,N15_M07_F10_KI14_15.mat,127786,512
N15_M07_F10,KI14,KI14,16,N15_M07_F10_KI14_16.mat,127745,512
N15_M07_F10,KI14,KI14,17,N15_M07_F10_KI14_17.mat,127744,512
N15_M07_F10,KI14,KI14,18,N15_M07_F10_KI14_18.mat,132634,512
N15_M07_F10,KI14,KI14,19,N15_M07_F10_KI14_19.mat,127745,512
N15_M07_F10,KI14,KI14,20,N15_M07_F10_KI14_20.mat,136823,512
N15_M07_F10,KI05,KI05,1,N15_M07_F10_KI05_1.mat,128791,512
N15_M07_F10,KI05,KI05,2,N15_M07_F10_KI05_2.mat,127744,512
N15_M07_F10,KI05,KI05,3,N15_M07_F10_KI05_3.mat,127784,512
N15_M07_F10,KI05,KI05,4,N15_M07_F10_KI05_4.mat,127855,512
N15_M07_F10,KI05,KI05,5,N15_M07_F10_KI05_5.mat,127745,512
N15_M07_F10,KI05,KI05,6,N15_M07_F10_KI05_6.mat,127786,512
N15_M07_F10,KI05,KI05,7,N15_M07_F10_KI05_7.mat,127744,512
N15_M07_F10,KI05,KI05,8,N15_M07_F10_KI05_8.mat,127744,512
N15_M07_F10,KI05,KI05,9,N15_M07_F10_KI05_9.mat,128006,512
N15_M07_F10,KI05,KI05,10,N15_M07_F10_KI05_10.mat,127783,512
N15_M07_F10,KI05,KI05,11,N15_M07_F10_KI05_11.mat,127786,512
N15_M07_F10,KI05,KI05,12,N15_M07_F10_KI05_12.mat,127744,512
N15_M07_F10,KI05,KI05,13,N15_M07_F10_KI05_13.mat,127744,512
N15_M07_F10,KI05,KI05,14,N15_M07_F10_KI05_14.mat,127788,512
N15_M07_F10,KI05,KI05,15,N15_M07_F10_KI05_15.mat,127744,512
N15_M07_F10,KI05,KI05,16,N15_M07_F10_KI05_16.mat,127747,512
N15_M07_F10,KI05,KI05,17,N15_M07_F10_KI05_17.mat,127744,512
N15_M07_F10,KI05,KI05,18,N15_M07_F10_KI05_18.mat,127744,512
N15_M07_F10,KI05,KI05,19,N15_M07_F10_KI05_19.mat,127788,512
N15_M07_F10,KI05,KI05,20,N15_M07_F10_KI05_20.mat,127744,512
N15_M07_F10,KI07,KI07,1,N15_M07_F10_KI07_1.mat,127744,512
N15_M07_F10,KI07,KI07,2,N15_M07_F10_KI07_2.mat,136818,512
N15_M07_F10,KI07,KI07,3,N15_M07_F10_KI07_3.mat,127744,512
N15_M07_F10,KI07,KI07,4,N15_M07_F10_KI07_4.mat,127744,512
N15_M07_F10,KI07,KI07,5,N15_M07_F10_KI07_5.mat,127744,512
N15_M07_F10,KI07,KI07,6,N15_M07_F10_KI07_6.mat,127747,512
N15_M07_F10,KI07,KI07,7,N15_M07_F10_KI07_7.mat,127744,512
N15_M07_F10,KI07,KI07,8,N15_M07_F10_KI07_8.mat,127744,512
N15_M07_F10,KI07,KI07,9,N15_M07_F10_KI07_9.mat,127744,512
N15_M07_F10,KI07,KI07,10,N15_M07_F10_KI07_10.mat,127744,512
N15_M07_F10,KI07,KI07,11,N15_M07_F10_KI07_11.mat,127744,512
N15_M07_F10,KI07,KI07,12,N15_M07_F10_KI07_12.mat,127744,512
N15_M07_F10,KI07,KI07,13,N15_M07_F10_KI07_13.mat,127745,512
N15_M07_F10,KI07,KI07,14,N15_M07_F10_KI07_14.mat,127744,512
N15_M07_F10,KI07,KI07,15,N15_M07_F10_KI07_15.mat,127744,512
N15_M07_F10,KI07,KI07,16,N15_M07_F10_KI07_16.mat,127744,512
N15_M07_F10,KI07,KI07,17,N15_M07_F10_KI07_17.mat,127744,512
N15_M07_F10,KI07,KI07,18,N15_M07_F10_KI07_18.mat,127744,512
N15_M07_F10,KI07,KI07,19,N15_M07_F10_KI07_19.mat,127744,512
N15_M07_F10,KI07,KI07,20,N15_M07_F10_KI07_20.mat,127743,512
N15_M07_F10,KA15,KA15,1,N15_M07_F10_KA15_1.mat,127744,512
N15_M07_F10,KA15,KA15,2,N15_M07_F10_KA15_2.mat,127744,512
N15_M07_F10,KA15,KA15,3,N15_M07_F10_KA15_3.mat,127744,512
N15_M07_F10,KA15,KA15,4,N15_M07_F10_KA15_4.mat,127744,512
N15_M07_F10,KA15,KA15,5,N15_M07_F10_KA15_5.mat,127745,512
N15_M07_F10,KA15,KA15,6,N15_M07_F10_KA15_6.mat,127744,512
N15_M07_F10,KA15,KA15,7,N15_M07_F10_KA15_7.mat,127744,512
N15_M07_F10,KA15,KA15,8,N15_M07_F10_KA15_8.mat,127744,512
N15_M07_F10,KA15,KA15,9,N15_M07_F10_KA15_9.mat,127745,512
N15_M07_F10,KA15,KA15,10,N15_M07_F10_KA15_10.mat,127744,512
N15_M07_F10,KA15,KA15,11,N15_M07_F10_KA15_11.mat,127744,512
N15_M07_F10,KA15,KA15,12,N15_M07_F10_KA15_12.mat,127745,512
N15_M07_F10,KA15,KA15,13,N15_M07_F10_KA15_13.mat,127744,512
N15_M07_F10,KA15,KA15,14,N15_M07_F10_KA15_14.mat,127744,512
N15_M07_F10,KA15,KA15,15,N15_M07_F10_KA15_15.mat,127744,512
N15_M07_F10,KA15,KA15,16,N15_M07_F10_KA15_16.mat,127742,512
N15_M07_F10,KA15,KA15,17,N15_M07_F10_KA15_17.mat,127744,512
N15_M07_F10,KA15,KA15,18,N15_M07_F10_KA15_18.mat,127744,512
N15_M07_F10,KA15,KA15,19,N15_M07_F10_KA15_19.mat,127745,512
N15_M07_F10,KA15,KA15,20,N15_M07_F10_KA15_20.mat,127744,512
N15_M07_F10,KI08,KI08,1,N15_M07_F10_KI08_1.mat,127744,512
N15_M07_F10,KI08,KI08,2,N15_M07_F10_KI08_2.mat,127745,512
N15_M07_F10,KI08,KI08,3,N15_M07_F10_KI08_3.mat,127745,512
N15_M07_F10,KI08,KI08,4,N15_M07_F10_KI08_4.mat,127744,512
N15_M07_F10,KI08,KI08,5,N15_M07_F10_KI08_5.mat,127745,512
N15_M07_F10,KI08,KI08,6,N15_M07_F10_KI08_6.mat,127745,512
N15_M07_F10,KI08,KI08,7,N15_M07_F10_KI08_7.mat,127745,512
N15_M07_F10,KI08,KI08,8,N15_M07_F10_KI08_8.mat,127744,512
N15_M07_F10,KI08,KI08,9,N15_M07_F10_KI08_9.mat,127744,512
N15_M07_F10,KI08,KI08,10,N15_M07_F10_KI08_10.mat,127745,512
N15_M07_F10,KI08,KI08,11,N15_M07_F10_KI08_11.mat,127743,512
N15_M07_F10,KI08,KI08,12,N15_M07_F10_KI08_12.mat,138134,512
N15_M07_F10,KI08,KI08,13,N15_M07_F10_KI08_13.mat,127745,512
N15_M07_F10,KI08,KI08,14,N15_M07_F10_KI08_14.mat,127745,512
N15_M07_F10,KI08,KI08,15,N15_M07_F10_KI08_15.mat,127744,512
N15_M07_F10,KI08,KI08,16,N15_M07_F10_KI08_16.mat,127744,512
N15_M07_F10,KI08,KI08,17,N15_M07_F10_KI08_17.mat,127743,512
N15_M07_F10,KI08,KI08,18,N15_M07_F10_KI08_18.mat,129981,512
N15_M07_F10,KI08,KI08,19,N15_M07_F10_KI08_19.mat,128073,512
N15_M07_F10,KI08,KI08,20,N15_M07_F10_KI08_20.mat,127744,512
N15_M07_F10,KI21,KI21,1,N15_M07_F10_KI21_1.mat,127790,512
N15_M07_F10,KI21,KI21,2,N15_M07_F10_KI21_2.mat,127744,512
N15_M07_F10,KI21,KI21,3,N15_M07_F10_KI21_3.mat,127744,512
N15_M07_F10,KI21,KI21,4,N15_M07_F10_KI21_4.mat,127745,512
N15_M07_F10,KI21,KI21,5,N15_M07_F10_KI21_5.mat,130530,512
N15_M07_F10,KI21,KI21,6,N15_M07_F10_KI21_6.mat,129798,512
N15_M07_F10,KI21,KI21,7,N15_M07_F10_KI21_7.mat,127744,512
N15_M07_F10,KI21,KI21,8,N15_M07_F10_KI21_8.mat,127743,512
N15_M07_F10,KI21,KI21,9,N15_M07_F10_KI21_9.mat,127744,512
N15_M07_F10,KI21,KI21,10,N15_M07_F10_KI21_10.mat,127744,512
N15_M07_F10,KI21,KI21,11,N15_M07_F10_KI21_11.mat,127744,512
N15_M07_F10,KI21,KI21,12,N15_M07_F10_KI21_12.mat,127787,512
N15_M07_F10,KI21,KI21,13,N15_M07_F10_KI21_13.mat,127788,512
N15_M07_F10,KI21,KI21,14,N15_M07_F10_KI21_14.mat,127790,512
N15_M07_F10,KI21,KI21,15,N15_M07_F10_KI21_15.mat,127745,512
N15_M07_F10,KI21,KI21,16,N15_M07_F10_KI21_16.mat,127790,512
N15_M07_F10,KI21,KI21,17,N15_M07_F10_KI21_17.mat,127788,512
N15_M07_F10,KI21,KI21,18,N15_M07_F10_KI21_18.mat,127744,512
N15_M07_F10,KI21,KI21,19,N15_M07_F10_KI21_19.mat,127790,512
N15_M07_F10,KI21,KI21,20,N15_M07_F10_KI21_20.mat,127788,512
