epoch,StratTrans_miou,StratTrans_oa,Swin3D_miou,Swin3D_oa,hybridTM_miou,hybridTM_oa,minkunet_miou,minkunet_oa,oacnns_miou,oacnns_oa,pt-v3_miou,pt-v3_oa,spunet_miou,spunet_oa
1,0.455,0.6062,0.4762,0.6235,0.438,0.7181,0.2638,0.4338,0.1652,0.4952,0.564,0.8217,0.1651,0.4952
2,0.5641,0.6973,0.8606,0.9128,0.4739,0.7444,0.1111,0.3229,0.1651,0.4952,0.6062,0.7685,0.1651,0.4952
3,0.7386,0.8432,0.9311,0.9616,0.559,0.817,0.2054,0.3313,0.2281,0.5465,0.8371,0.9279,0.1651,0.4952
4,0.8562,0.9198,0.9144,0.948,0.5458,0.7958,0.2064,0.4435,0.5656,0.8091,0.407,0.4861,0.1674,0.4971
5,0.9177,0.9553,0.9394,0.9683,0.4766,0.7442,0.3863,0.5538,0.5657,0.809,0.319,0.4775,0.1651,0.4952
6,0.9464,0.9703,0.9403,0.967,0.4816,0.7602,0.3078,0.5682,0.5661,0.8104,0.3935,0.5888,0.1651,0.4952
7,0.9481,0.9758,0.9573,0.9789,0.8547,0.93,0.4717,0.7401,0.5553,0.7996,0.4398,0.6579,0.1727,0.5014
8,0.9425,0.9662,0.9636,0.9818,0.3698,0.552,0.4721,0.706,0.5636,0.8068,0.5442,0.727,0.1651,0.4952
9,0.9336,0.9628,0.9523,0.9735,0.8207,0.892,0.4874,0.7173,0.5617,0.8054,0.8134,0.9028,0.1651,0.4952
10,0.9482,0.9726,0.9721,0.9854,0.6833,0.8206,0.4149,0.5931,0.5579,0.8103,0.6279,0.7838,0.1651,0.4952
11,0.9491,0.9694,0.9791,0.9894,0.8267,0.9042,0.3768,0.5475,0.5551,0.8047,0.4594,0.6708,0.1651,0.4952
12,0.964,0.982,0.9718,0.9848,0.5159,0.6094,0.5401,0.7206,0.5382,0.8046,0.91,0.9552,0.1651,0.4952
13,0.9629,0.9788,0.9616,0.9782,0.419,0.484,0.4385,0.6857,0.5606,0.811,0.8385,0.9122,0.1651,0.4952
14,0.9697,0.9864,0.9688,0.9847,0.4296,0.4894,0.4265,0.6217,0.5942,0.8227,0.5886,0.7364,0.1659,0.4956
15,0.9315,0.9624,0.9687,0.9831,0.428,0.4876,0.3394,0.523,0.6243,0.8357,0.8631,0.9239,0.1661,0.4957
16,0.9423,0.9686,0.9712,0.9848,0.398,0.4708,0.3637,0.5514,0.6558,0.8512,0.5128,0.594,0.1836,0.5047
17,0.9641,0.9819,0.9652,0.9816,0.6957,0.8388,0.454,0.6288,0.7024,0.8667,0.5805,0.6818,0.1686,0.4963
18,0.9602,0.9791,0.9767,0.9876,0.8945,0.9426,0.5398,0.7063,0.862,0.9315,0.8539,0.9442,0.1796,0.5012
19,0.9725,0.9844,0.9666,0.9825,0.9068,0.9512,0.6519,0.8041,0.9105,0.9641,0.8163,0.8833,0.1901,0.5071
20,0.9614,0.9805,0.9723,0.9858,0.6659,0.798,0.4284,0.5853,0.7926,0.8916,0.4116,0.4921,0.1778,0.5006
