epoch,StratTrans_miou,StratTrans_oa,Swin3D_miou,Swin3D_oa,hybridTM_miou,hybridTM_oa,minkunet_miou,minkunet_oa,oacnns_miou,oacnns_oa,pt-v3_miou,pt-v3_oa,spunet_miou,spunet_oa,TopoFusion_miou,TopoFusion_oa
1,0.1936,0.3409,0.2853,0.417,0.438,0.7181,0.2638,0.4338,0.1652,0.4952,0.533,0.8147,0.1651,0.4952,0.1651,0.4952
2,0.2432,0.3822,0.1846,0.3333,0.4739,0.7444,0.1111,0.3229,0.1651,0.4952,0.6983,0.8737,0.1651,0.4952,0.1651,0.4952
3,0.6376,0.7074,0.8306,0.8781,0.559,0.817,0.2054,0.3313,0.2281,0.5465,0.1859,0.3883,0.1651,0.4952,0.3542,0.6382
4,0.8546,0.8784,0.6573,0.7117,0.5458,0.7958,0.2064,0.4435,0.5656,0.8091,0.8351,0.9348,0.1674,0.4971,0.2298,0.451
5,0.445,0.5959,0.6971,0.7603,0.4766,0.7442,0.3863,0.5538,0.5657,0.809,0.87,0.9429,0.1651,0.4952,0.3057,0.5166
6,0.8612,0.8967,0.7472,0.7942,0.4816,0.7602,0.3078,0.5682,0.5661,0.8104,0.4846,0.6627,0.1651,0.4952,0.3058,0.5168
7,0.8533,0.8821,0.8405,0.896,0.8547,0.93,0.4717,0.7401,0.5553,0.7996,0.2141,0.3769,0.1727,0.5014,0.3058,0.5168
8,0.8159,0.8531,0.7423,0.7821,0.3698,0.552,0.4721,0.706,0.5636,0.8068,0.4262,0.6344,0.1651,0.4952,0.3058,0.5168
9,0.8379,0.8755,0.5898,0.7015,0.8207,0.892,0.4874,0.7173,0.5617,0.8054,0.6497,0.8219,0.1651,0.4952,0.2057,0.4166
10,0.7963,0.8307,0.8601,0.9041,0.6833,0.8206,0.4149,0.5931,0.5579,0.8103,0.6584,0.8189,0.1651,0.4952,0.4737,0.6869
11,0.875,0.8967,0.8144,0.8884,0.8267,0.9042,0.3768,0.5475,0.5551,0.8047,0.6925,0.8408,0.1651,0.4952,0.4688,0.7089
12,0.8801,0.9089,0.5014,0.6206,0.5159,0.6094,0.5401,0.7206,0.5382,0.8046,0.4507,0.6458,0.1651,0.4952,0.2285,0.4565
13,0.8186,0.8513,0.8175,0.8465,0.419,0.484,0.4385,0.6857,0.5606,0.811,0.6683,0.8556,0.1651,0.4952,0.4057,0.6166
14,0.8555,0.894,0.8479,0.9148,0.4296,0.4894,0.4265,0.6217,0.5942,0.8227,0.6788,0.8694,0.1659,0.4956,0.4054,0.6157
15,0.8582,0.8851,0.8757,0.8986,0.428,0.4876,0.3394,0.523,0.6243,0.8357,0.8545,0.939,0.1661,0.4957,0.4058,0.6168
16,0.8783,0.898,0.8915,0.9122,0.398,0.4708,0.3637,0.5514,0.6558,0.8512,0.7331,0.8705,0.1836,0.5047,0.4058,0.6168
17,0.8656,0.9328,0.8018,0.9044,0.6957,0.8388,0.454,0.6288,0.7024,0.8667,0.5204,0.7948,0.1686,0.4963,0.4621,0.6629
18,0.9043,0.9205,0.883,0.9117,0.8945,0.9426,0.5398,0.7063,0.862,0.9315,0.5058,0.7391,0.1796,0.5012,0.6739,0.8449
19,0.8958,0.9126,0.8906,0.9145,0.9068,0.9512,0.6519,0.8041,0.9105,0.9641,0.5204,0.7875,0.1901,0.5071,0.7299,0.8696
20,0.899,0.9157,0.8359,0.9183,0.6659,0.798,0.4284,0.5853,0.7926,0.8916,0.5178,0.7468,0.1778,0.5006,0.9331,0.9688
21,0.8939,0.911,0.8999,0.9424,0.6268,0.7871,0.3904,0.5492,0.7654,0.8492,0.8537,0.9355,0.1728,0.4982,0.908,0.962
22,0.9032,0.9199,0.8459,0.8839,0.6638,0.8008,0.3222,0.526,0.5203,0.7301,0.7407,0.8912,0.1914,0.5083,0.6194,0.7776
23,0.9122,0.9317,0.8613,0.8868,0.5784,0.6939,0.6382,0.8194,0.8695,0.9477,0.6921,0.8297,0.1841,0.5041,0.8805,0.9459
24,0.9051,0.9216,0.8873,0.9072,0.5975,0.6845,0.7573,0.8847,0.9263,0.9699,0.7136,0.831,0.2333,0.5407,0.9169,0.9633
25,0.9172,0.9388,0.8961,0.9142,0.6175,0.7245,0.4462,0.6275,0.9465,0.9767,0.7929,0.8947,0.2153,0.5274,0.8961,0.9558
26,0.9096,0.93,0.8943,0.9143,0.7636,0.8656,0.3864,0.5949,0.9355,0.9739,0.8619,0.9416,0.2083,0.5177,0.7808,0.876
27,0.9408,0.9638,0.8879,0.9174,0.8526,0.9181,0.5147,0.6942,0.9134,0.9645,0.8498,0.9384,0.2591,0.5606,0.7126,0.8516
28,0.9136,0.9314,0.903,0.9194,0.8222,0.9135,0.3412,0.5387,0.7731,0.896,0.8083,0.9256,0.2278,0.5317,0.7122,0.8376
29,0.7694,0.9197,0.8573,0.9284,0.8969,0.9439,0.3359,0.553,0.8984,0.9571,0.8705,0.9469,0.2782,0.5707,0.933,0.9709
30,0.9051,0.9311,0.9227,0.94,0.8611,0.9308,0.3208,0.5293,0.8189,0.9104,0.8677,0.9395,0.278,0.5712,0.9563,0.9824
31,0.8307,0.9204,0.9369,0.9503,0.8231,0.9109,0.4233,0.6255,0.7739,0.8942,0.7922,0.8798,0.2678,0.5621,0.9572,0.9828
32,0.8729,0.9165,0.9284,0.9421,0.8019,0.8953,0.4832,0.6781,0.8523,0.9324,0.9037,0.9581,0.4163,0.6797,0.6703,0.833
33,0.7784,0.9217,0.8929,0.9488,0.7144,0.8199,0.4425,0.6429,0.9318,0.9704,0.8693,0.9352,0.3484,0.6271,0.9569,0.9822
34,0.8895,0.9603,0.9013,0.9372,0.631,0.7497,0.3961,0.6039,0.5963,0.7835,0.7292,0.8413,0.3595,0.6268,0.9677,0.987
35,0.8868,0.9061,0.9056,0.9207,0.6532,0.7906,0.4022,0.6129,0.9088,0.9625,0.8776,0.9442,0.6786,0.8455,0.9525,0.9799
36,0.9085,0.9244,0.9113,0.9396,0.8151,0.9022,0.6462,0.7896,0.914,0.9641,0.8394,0.9271,0.5872,0.8045,0.9599,0.9833
37,0.8632,0.8858,0.9007,0.9254,0.9004,0.951,0.3222,0.4982,0.9376,0.9738,0.7894,0.8914,0.5714,0.7915,0.9598,0.9835
38,0.8862,0.904,0.9101,0.9266,0.9197,0.9597,0.4173,0.6321,0.828,0.9227,0.6156,0.7698,0.6323,0.8242,0.9195,0.9635
39,0.9076,0.9236,0.8412,0.9252,0.8776,0.9394,0.5524,0.7316,0.8325,0.9289,0.6819,0.8162,0.6074,0.8008,0.9105,0.9592
40,0.9219,0.937,0.7019,0.8793,0.9401,0.9762,0.5909,0.7641,0.9381,0.9748,0.8863,0.9533,0.6018,0.8043,0.9642,0.9849
41,0.9232,0.9394,0.8424,0.8701,0.9578,0.9829,0.5467,0.7392,0.9408,0.9761,0.8876,0.9533,0.5692,0.7774,0.964,0.985
42,0.9124,0.9296,0.8504,0.8777,0.9639,0.9858,0.5093,0.7252,0.9491,0.9795,0.9123,0.9644,0.6235,0.8184,0.9596,0.9828
43,0.7676,0.9257,0.8394,0.8658,0.9654,0.9865,0.3336,0.5442,0.9344,0.9737,0.8766,0.949,0.6597,0.8339,0.9474,0.9785
44,0.9259,0.9422,0.8464,0.8866,0.963,0.9851,0.5113,0.6962,0.8534,0.9377,0.9313,0.9726,0.6623,0.8312,0.9601,0.9836
