epoch,E1_miou,E1_oa,E2_miou,E2_oa,E3_miou,E3_oa,E4_miou,E4_oa,E5_miou,E5_oa,E6_miou,E6_oa,E7_miou,E7_oa,E8_miou,E8_oa
1,0.1652,0.4952,0.1695,0.4972,0.1722,0.4983,0.1698,0.4974,0.1651,0.4952,0.1698,0.4974,0.1698,0.4974,0.1651,0.4952
2,0.1651,0.4952,0.1651,0.4952,0.2169,0.5374,0.1651,0.4952,0.1651,0.4952,0.1651,0.4952,0.1651,0.4952,0.1651,0.4952
3,0.2281,0.5465,0.1651,0.4952,0.3724,0.6612,0.1671,0.4967,0.3461,0.6332,0.1651,0.4952,0.1671,0.4967,0.3542,0.6382
4,0.5656,0.8091,0.1057,0.3166,0.1058,0.3168,0.1057,0.3166,0.2294,0.4522,0.1057,0.3166,0.1057,0.3166,0.2298,0.451
5,0.5657,0.809,0.1052,0.3154,0.1058,0.3168,0.1052,0.3154,0.1057,0.3166,0.1052,0.3154,0.1052,0.3154,0.3057,0.5166
6,0.5661,0.8104,0.1058,0.3167,0.1053,0.3155,0.1058,0.3167,0.1058,0.3168,0.1058,0.3167,0.1058,0.3167,0.3058,0.5168
7,0.5553,0.7996,0.1053,0.3155,0.1058,0.3168,0.1053,0.3155,0.1057,0.3166,0.148,0.363,0.1053,0.3155,0.3058,0.5168
8,0.5636,0.8068,0.1053,0.3155,0.1057,0.3166,0.1053,0.3155,0.1058,0.3168,0.2597,0.5105,0.1053,0.3155,0.3058,0.5168
9,0.5617,0.8054,0.1057,0.3166,0.2187,0.4545,0.1057,0.3166,0.1057,0.3166,0.1057,0.3166,0.1057,0.3166,0.2057,0.4166
10,0.5579,0.8103,0.2906,0.5968,0.1057,0.3166,0.5131,0.769,0.1057,0.3166,0.4762,0.7409,0.5131,0.769,0.4737,0.6869
11,0.5551,0.8047,0.1058,0.3168,0.1654,0.3905,0.1058,0.3168,0.1652,0.3901,0.5508,0.7938,0.1058,0.3168,0.4688,0.7089
12,0.5382,0.8046,0.1659,0.391,0.4403,0.714,0.5372,0.7871,0.1057,0.3166,0.3802,0.6672,0.5372,0.7871,0.2285,0.4565
